axis,axis_value,config_key,seed,camera,is_reference_camera,z_position_error_mm_raw,z_position_error_mm_gauge_corrected,water_z_error_mm_signed,h_c_error_mm_signed
index,1.39,index_1.39,42,cam0,True,0.0,-0.4001542521226112,0.3170786660782188,0.3170786660782188
index,1.39,index_1.39,42,cam1,False,0.46396987233413617,0.06381562021152498,0.3170786660782188,-0.1468912062559174
index,1.39,index_1.39,42,cam10,False,0.08951291601923105,-0.31064133610338013,0.3170786660782188,0.22756575005898771
index,1.39,index_1.39,42,cam11,False,1.1731837001522036,0.7730294480295925,0.3170786660782188,-0.8561050340739849
index,1.39,index_1.39,42,cam2,False,0.6414279169666406,0.2412736648440294,0.3170786660782188,-0.3243492508884218
index,1.39,index_1.39,42,cam3,False,0.9844362137508599,0.5842819616282486,0.3170786660782188,-0.6673575476726411
index,1.39,index_1.39,42,cam4,False,0.07387146253350031,-0.3262827895891109,0.3170786660782188,0.24320720354471848
index,1.39,index_1.39,42,cam5,False,0.24349805493804802,-0.15665619718456317,0.3170786660782188,0.07358061114017075
index,1.39,index_1.39,42,cam6,False,0.521022646093459,0.12086839397084786,0.3170786660782188,-0.20394398001524028
index,1.39,index_1.39,42,cam7,False,1.179682986236527,0.7795287341139159,0.3170786660782188,-0.8626043201583082
index,1.39,index_1.39,42,cam8,False,-0.7549470610379869,-1.155101313160598,0.3170786660782188,1.0720257271162057
index,1.39,index_1.39,42,cam9,False,-0.2139619346378961,-0.6141161867605073,0.3170786660782188,0.5310406007161148
index,1.42,index_1.42,42,cam0,True,0.0,-0.0635670779782472,0.2108898041837115,0.2108898041837115
index,1.42,index_1.42,42,cam1,False,-0.15364688404495563,-0.21721396202320284,0.2108898041837115,0.36453668822866714
index,1.42,index_1.42,42,cam10,False,0.03491583863402122,-0.028651239344225983,0.2108898041837115,0.17597396554969028
index,1.42,index_1.42,42,cam11,False,0.03798916832322991,-0.025577909655017293,0.2108898041837115,0.1729006358604816
index,1.42,index_1.42,42,cam2,False,-0.7063475717068932,-0.7699146496851405,0.2108898041837115,0.9172373758906047
index,1.42,index_1.42,42,cam3,False,-0.7578102028143376,-0.8213772807925849,0.2108898041837115,0.9687000069980491
index,1.42,index_1.42,42,cam4,False,0.5296582013730653,0.46609112339481806,0.2108898041837115,-0.3187683971893538
index,1.42,index_1.42,42,cam5,False,0.4904379368688219,0.42687085889057474,0.2108898041837115,-0.2795481326851104
index,1.42,index_1.42,42,cam6,False,-0.12278708897067335,-0.18635416694892054,0.2108898041837115,0.33367689315438487
index,1.42,index_1.42,42,cam7,False,-0.616320776774786,-0.6798878547530333,0.2108898041837115,0.8272105809584975
index,1.42,index_1.42,42,cam8,False,0.8791025556092397,0.8155354776309924,0.2108898041837115,-0.6682127514255282
index,1.42,index_1.42,42,cam9,False,1.084046681263987,1.02047960328574,0.2108898041837115,-0.8731568770802756
index,1.45,index_1.45,42,cam0,True,0.0,-0.3175742484824808,0.1100006916523455,0.1100006916523455
index,1.45,index_1.45,42,cam1,False,0.25385603481809654,-0.06371821366438424,0.1100006916523455,-0.14385534316575105
index,1.45,index_1.45,42,cam10,False,0.21479347204464347,-0.10278077643783731,0.1100006916523455,-0.10479278039229797
index,1.45,index_1.45,42,cam11,False,0.6674188779448279,0.3498446294623471,0.1100006916523455,-0.5574181862924824
index,1.45,index_1.45,42,cam2,False,0.4063951201502894,0.08882087166780861,0.1100006916523455,-0.2963944284979439
index,1.45,index_1.45,42,cam3,False,0.16246640894258205,-0.15510783953989873,0.1100006916523455,-0.05246571729023655
index,1.45,index_1.45,42,cam4,False,0.5451447934899679,0.22757054500748713,0.1100006916523455,-0.4351441018376224
index,1.45,index_1.45,42,cam5,False,0.23198154465653778,-0.085592703825943,0.1100006916523455,-0.12198085300419229
index,1.45,index_1.45,42,cam6,False,0.009525090984217801,-0.308049157498263,0.1100006916523455,0.10047560066812769
index,1.45,index_1.45,42,cam7,False,0.7230152921865792,0.40544104370409845,0.1100006916523455,-0.6130146005342337
index,1.45,index_1.45,42,cam8,False,0.4710003938112979,0.1534261453288171,0.1100006916523455,-0.3609997021589524
index,1.45,index_1.45,42,cam9,False,-0.19228029572175132,-0.5098545442042322,0.1100006916523455,0.3022809873740968
index,1.48,index_1.48,42,cam0,True,0.0,1.1688253589334832,-0.9841067617255561,-0.9841067617255561
index,1.48,index_1.48,42,cam1,False,-0.16631972152201557,1.0025056374114676,-0.9841067617255561,-0.8177870402035405
index,1.48,index_1.48,42,cam10,False,-1.752783319977354,-0.5839579610438708,-0.9841067617255561,0.7686765582517978
index,1.48,index_1.48,42,cam11,False,-2.183183691354379,-1.014358332420896,-0.9841067617255561,1.199076929628823
index,1.48,index_1.48,42,cam2,False,-1.1059139265311677,0.06291143240231545,-0.9841067617255561,0.1218071648056116
index,1.48,index_1.48,42,cam3,False,-2.1209531260739456,-0.9521277671404624,-0.9841067617255561,1.1368463643483895
index,1.48,index_1.48,42,cam4,False,-0.6900466173330025,0.4787787416004806,-0.9841067617255561,-0.29406014439255357
index,1.48,index_1.48,42,cam5,False,-0.565984730406855,0.6028406285266281,-0.9841067617255561,-0.41812203131870107
index,1.48,index_1.48,42,cam6,False,-1.5267982865215988,-0.3579729275881156,-0.9841067617255561,0.5426915247960427
index,1.48,index_1.48,42,cam7,False,-1.90678266844687,-0.7379573095133869,-0.9841067617255561,0.9226759067213139
index,1.48,index_1.48,42,cam8,False,-0.25721686735394234,0.9116084915795408,-0.9841067617255561,-0.7268898943716138
index,1.48,index_1.48,42,cam9,False,-0.5810959927471833,0.5877293661862999,-0.9841067617255561,-0.40301076897837285
index,1.51,index_1.51,42,cam0,True,0.0,0.2246640015567458,-0.8379762090549026,-0.8379762090549026
index,1.51,index_1.51,42,cam1,False,0.23738384567782972,0.4620478472345755,-0.8379762090549026,-1.0753600547327322
index,1.51,index_1.51,42,cam10,False,-0.8271109992765886,-0.6024469977198428,-0.8379762090549026,-0.010865209778313956
index,1.51,index_1.51,42,cam11,False,-0.5975836942736265,-0.37291969271688064,-0.8379762090549026,-0.2403925147812761
index,1.51,index_1.51,42,cam2,False,-0.1757110600991976,0.048952941457548194,-0.8379762090549026,-0.662265148955705
index,1.51,index_1.51,42,cam3,False,-0.10948627427271457,0.11517772728403122,-0.8379762090549026,-0.728489934782188
index,1.51,index_1.51,42,cam4,False,-0.24590911097876078,-0.02124510942201499,-0.8379762090549026,-0.5920670980761418
index,1.51,index_1.51,42,cam5,False,0.04250608157890454,0.2671700831356503,-0.8379762090549026,-0.8804822906338071
index,1.51,index_1.51,42,cam6,False,-0.2290476449700288,-0.0043836434132830115,-0.8379762090549026,-0.6089285640848737
index,1.51,index_1.51,42,cam7,False,-0.8970344136100304,-0.6723704120532846,-0.8379762090549026,0.05905820455512789
index,1.51,index_1.51,42,cam8,False,0.535168000283498,0.7598320018402438,-0.8379762090549026,-1.3731442093384005
index,1.51,index_1.51,42,cam9,False,-0.20447874718348882,0.020185254373256967,-0.8379762090549026,-0.6334974618714138
index,1.55,index_1.55,42,cam0,True,0.0,0.666496801790592,0.027033099589512943,0.027033099589512943
index,1.55,index_1.55,42,cam1,False,-0.19116667327093856,0.47533012851965345,0.027033099589512943,0.2181997728604515
index,1.55,index_1.55,42,cam10,False,-0.5567633497170367,0.10973345207355534,0.027033099589512943,0.5837964493065496
index,1.55,index_1.55,42,cam11,False,-0.8117170313547811,-0.14522022956418912,0.027033099589512943,0.8387501309442941
index,1.55,index_1.55,42,cam2,False,-0.829317982930804,-0.16282118114021205,0.027033099589512943,0.856351082520317
index,1.55,index_1.55,42,cam3,False,-1.1238522337545147,-0.4573554319639227,0.027033099589512943,1.1508853333440277
index,1.55,index_1.55,42,cam4,False,-0.7018778090908036,-0.03538100730021154,0.027033099589512943,0.7289109086803165
index,1.55,index_1.55,42,cam5,False,-0.441776500205457,0.224720301585135,0.027033099589512943,0.46880959979496994
index,1.55,index_1.55,42,cam6,False,-0.5895962161692552,0.07690058562133684,0.027033099589512943,0.6166293157587681
index,1.55,index_1.55,42,cam7,False,-0.6234853960249038,0.04301140576568818,0.027033099589512943,0.6505184956144168
index,1.55,index_1.55,42,cam8,False,-0.9516044050149451,-0.28510760322435313,0.027033099589512943,0.9786375046044581
index,1.55,index_1.55,42,cam9,False,-0.5103072221630724,0.15618957962751956,0.027033099589512943,0.5373403217525854
layout,line,layout_line,42,cam0,True,0.0,0.13318481779093103,-1.258486023291594,-1.258486023291594
layout,line,layout_line,42,cam1,False,-0.451570365195067,-0.31838554740413594,-1.258486023291594,-0.806915658096527
layout,line,layout_line,42,cam10,False,-0.674010843869774,-0.5408260260788429,-1.258486023291594,-0.58447517942182
