seed,n_true,n_assumed,delta_n,delta_n_over_n,reprojection_rms_px,reconstruction_mae_mm,reconstruction_rmse_mm,signed_mean_mm,scale_bias_frac,scale_bias_pct,scale_bias_pct_control,bias_over_control,holdout_floor_pct,scale_bias_over_floor,num_comparisons,num_frames,degenerate_observations_at_solution,degenerate_observations_cause_above_interface,degenerate_observations_cause_behind_camera,degenerate_observations_cause_interface_below_camera,degenerate_observations_fate_extended,degenerate_observations_fate_penalized
42,1.333,1.323,-0.010000000000000009,-0.0075018754688672236,0.7087483940720668,0.340494998780356,0.4817034758828507,0.02361878835137706,1.000393646472523,0.039364647252293494,0.049908026866840594,0.0105433796145471,,,4707,30,0,0,0,0,0,0
42,1.333,1.325,-0.008000000000000007,-0.006001500375093779,0.7078929237466339,0.3407722233635179,0.48221359109534967,0.024865816689886626,1.0004144302781648,0.04144302781647902,0.049908026866840594,0.008464999050361577,,,4707,30,0,0,0,0,0,0
42,1.333,1.327,-0.006000000000000005,-0.004501125281320334,0.7072099119346974,0.34107750162658995,0.482755739396484,0.026121234071232808,1.0004353539011872,0.04353539011872076,0.049908026866840594,0.006372636748119831,,,4707,30,0,0,0,0,0,0
42,1.333,1.329,-0.0040000000000000036,-0.0030007501875468894,0.7066997587080532,0.3414061967897292,0.4833291067091866,0.02738602202135074,1.0004564337003559,0.04564337003558627,0.049908026866840594,0.004264656831254321,,,4707,30,0,0,0,0,0,0
42,1.333,1.331,-0.0020000000000000018,-0.0015003750937734447,0.706361901503744,0.34174717215774586,0.483933597353729,0.028660713725922306,1.0004776785620988,0.047767856209879334,0.049908026866840594,0.00214017065696126,,,4707,30,0,0,0,0,0,0
42,1.333,1.333,0.0,0.0,0.7061955538782513,0.3421122058906186,0.48456961515516983,0.029944816120108207,1.0004990802686684,0.049908026866840594,0.049908026866840594,0.0,,,4707,30,0,0,0,0,0,0
42,1.333,1.335,0.0020000000000000018,0.0015003750937734447,0.706199796566979,0.3424995360882274,0.48523664673070316,0.031237630999814185,1.0005206271833302,0.05206271833302356,0.049908026866840594,0.0021546914661829675,,,4707,30,0,0,0,0,0,0
42,1.333,1.337,0.0040000000000000036,0.0030007501875468894,0.7063738672843483,0.3429230004794244,0.48593528680261944,0.03253904512001791,1.000542317418667,0.05423174186669488,0.049908026866840594,0.004323714999854289,,,4707,30,0,0,0,0,0,0
42,1.333,1.339,0.006000000000000005,0.004501125281320334,0.7067161032115529,0.3433871269615371,0.48666535801896627,0.03384939619550296,1.0005641566032584,0.056415660325837,0.049908026866840594,0.006507633458996409,,,4707,30,0,0,0,0,0,0
42,1.333,1.341,0.008000000000000007,0.006001500375093779,0.7072254838238818,0.34388477343115764,0.48742654661946616,0.03516797786874063,1.000586132964479,0.05861329644789581,0.049908026866840594,0.00870526958105522,,,4707,30,0,0,0,0,0,0
42,1.333,1.343,0.010000000000000009,0.0075018754688672236,0.707900973723716,0.344398947985563,0.4882193089222512,0.03649546536404964,1.0006082577560675,0.060825775606754284,0.049908026866840594,0.01091774873991369,,,4707,30,0,0,0,0,0,0
